,popularity,id,vote_count,vote_average,title,release_date,original_language,genre_ids,Unnamed: 0,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
872,10.886,152780,339,7.4,The Past,2013-05-17,fr,"['Drama', 'Mystery']",700,The Past,2013,PG-13,2404461,130,"Drama, Mystery",85.0,7.8,44489,1.33
873,48.959,8681,8168,7.4,Taken,2008-02-18,en,"['Action', 'Thriller']",127,Taken,2008,PG-13,936501,90,"Action, Thriller",51.0,7.8,560762,145.00
874,10.686,11816,262,7.4,On Golden Pond,1981-12-01,en,['Drama'],160,On Golden Pond,1981,PG,82846,109,Drama,68.0,7.6,27277,119.29
875,48.988,10144,5521,7.4,The Little Mermaid,1989-11-17,en,"['Animation', 'Family', 'Fantasy']",169,The Little Mermaid,1989,G,97757,83,"Animation, Family, Fantasy",88.0,7.6,234285,111.54
876,81.635,385448,678,5.0,The Little Mermaid,2018-08-02,en,"['Adventure', 'Fantasy', 'Romance', 'Drama', 'Family']",169,The Little Mermaid,1989,G,97757,83,"Animation, Family, Fantasy",88.0,7.6,234285,111.54
877,8.866,10669,943,7.3,Deliverance,1972-07-30,en,"['Adventure', 'Drama', 'Thriller']",549,Deliverance,1972,R,68473,109,"Adventure, Drama, Thriller",80.0,7.7,97714,7.06
878,10.055,3089,265,7.3,Red River,1948-08-26,en,"['Action', 'Adventure', 'Drama', 'Romance', 'Western']",975,Red River,1948,Passed,40724,133,"Action, Adventure, Drama",,7.8,27728,--
879,27.536,54138,7137,7.3,Star Trek Into Darkness,2013-05-05,en,"['Action', 'Adventure', 'Science Fiction']",65,Star Trek Into Darkness,2013,PG-13,1408101,132,"Action, Adventure, Sci-Fi",72.0,7.7,460283,228.78
880,34.208,273481,5645,7.3,Sicario,2015-09-17,en,"['Action', 'Crime', 'Thriller']",314,Sicario,2015,R,3397884,121,"Action, Crime, Drama",82.0,7.6,365140,46.89
881,20.395,1359,5950,7.3,American Psycho,2000-04-13,en,"['Thriller', 'Drama', 'Crime', 'Horror']",476,American Psycho,2000,R,144084,101,"Comedy, Crime, Drama",64.0,7.6,480832,15.07
882,14.888,850,757,7.3,A Christmas Story,1983-11-18,en,"['Comedy', 'Family']",443,A Christmas Story,1983,PG,85334,94,"Comedy, Family",77.0,7.9,128122,20.61
883,18.399,2666,1752,7.3,Dark City,1998-02-27,en,"['Mystery', 'Science Fiction']",481,Dark City,1998,R,118929,100,"Mystery, Sci-Fi, Thriller",66.0,7.6,186370,14.38
884,17.948,146,2049,7.3,"Crouching Tiger, Hidden Dragon",2000-07-06,zh,"['Adventure', 'Drama', 'Action', 'Romance']",147,"Crouching Tiger, Hidden Dragon",2000,PG-13,190332,120,"Action, Adventure, Fantasy",94.0,7.8,250921,128.08
885,10.916,11499,759,7.3,Frost/Nixon,2008-10-15,en,"['Drama', 'History']",451,Frost/Nixon,2008,R,870111,122,"Biography, Drama, History",80.0,7.7,102229,18.59
886,12.387,892,825,7.3,Delicatessen,1991-04-17,fr,"['Comedy', 'Science Fiction', 'Fantasy']",677,Delicatessen,1991,R,101700,99,"Comedy, Crime",66.0,7.6,79684,1.79
887,15.693,470,2077,7.3,21 Grams,2003-03-05,en,"['Drama', 'Crime', 'Thriller']",469,21 Grams,2003,R,315733,124,"Crime, Drama, Thriller",70.0,7.6,222573,16.29
888,12.837,104,1385,7.3,Run Lola Run,1998-08-20,de,"['Action', 'Drama', 'Thriller']",545,Run Lola Run,1998,R,130827,80,"Crime, Drama, Thriller",77.0,7.6,186978,7.27
889,9.606,41201,366,7.3,The Illusionist,2010-02-16,fr,"['Animation', 'Drama']",346,The Illusionist,2006,PG-13,443543,110,"Drama, Fantasy, Mystery",68.0,7.6,352299,39.87
890,19.844,1491,3470,7.3,The Illusionist,2006-08-18,en,"['Fantasy', 'Drama', 'Thriller', 'Romance']",346,The Illusionist,2006,PG-13,443543,110,"Drama, Fantasy, Mystery",68.0,7.6,352299,39.87
891,35.291,855,3781,7.3,Black Hawk Down,2001-12-28,en,"['Action', 'History', 'War']",172,Black Hawk Down,2001,R,265086,144,"Drama, History, War",74.0,7.7,360599,108.64
892,17.732,134,2585,7.3,"O Brother, Where Art Thou?",2000-08-30,en,"['Adventure', 'Comedy', 'Crime']",320,"O Brother, Where Art Thou?",2000,PG-13,190590,107,"Adventure, Comedy, Crime",69.0,7.7,281934,45.51
893,17.301,37094,2230,7.3,Falling Down,1993-02-26,en,"['Crime', 'Drama', 'Thriller']",340,Falling Down,1993,R,106856,113,"Action, Crime, Drama",56.0,7.6,168242,40.90
894,12.902,4771,2453,7.3,Gone Baby Gone,2007-06-06,en,"['Crime', 'Drama', 'Mystery']",444,Gone Baby Gone,2007,R,452623,114,"Crime, Drama, Mystery",72.0,7.6,247468,20.30
895,22.792,9426,2631,7.3,The Fly,1986-08-15,en,"['Horror', 'Science Fiction']",341,The Fly,1986,R,91064,96,"Drama, Horror, Sci-Fi",79.0,7.6,157683,40.46
896,12.749,11815,295,7.1,The Fly,1958-07-16,en,"['Drama', 'Horror', 'Science Fiction']",341,The Fly,1986,R,91064,96,"Drama, Horror, Sci-Fi",79.0,7.6,157683,40.46
